🔒 SKU Row ID,Product Code,Product Name,Zonal/Added to Zonal,Unit,Cost,Supplier ID,Active/Active,Sorting/Pin,History/Created Timestamp,History/Created by User,Import/DatafromCSV ID,Par API/SKU Added to Par Helper,Mask API/Added to SKU Mask,Ownership/Org ID,Flag/Flag,Flag/Flag Message,History/Last updated,History/Last updated by,Delete,Set/Auto-Quantity Weekday,Notes/SKU Global Note
nRmJdNqxQLWBpU8fdKK6GA,10037092023BT06,Pinot Grigio Rose Montevento 2023,true,6 x 75cl,6.59,a.3hkq3OGSyWf66d3VFCiPg,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,3SQsNu9dRnCI40Y6jZNCOw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
9vPiJxB6QFeSewmT9CqmMA,30287,Granulated Sugar,true,5kg,8.54,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,N4tBKgi0QoyVVrmhdx5Pdw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
m0ZX2ZLvTi2j9ijlrfiW8g,20924,Maldon Sea Salt,true,1.4kg,12.5,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,KXwwfh9bQm6lCx1.odFmNg,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
T-qKxnW9TBu9OpIO2fMl.w,62728,Burrata,true,12 x 125g,27.99,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,KeSBWcyJS52APZUoamsBzA,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
DMd129x3RSS5bj5NgT-8DA,45724,Croissants,true,50 x 90g,24.2,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,7iAZXuXoTRG-LX5vRMI35w,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
P01Xd8W8RRWKhekwQ969Pg,N/A,Jeeves & Jericho Red Berry Tea,true,1 x 100,21.5,w6AhNWWTQsiz3TYH.act5Q,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,yV8JuKr8QO29okEyWICiRA,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
4vj8iv4xSwWtkw8NFGHZGg,6047,Apricot & Pistachio Frangipane (Sliced),true,1 x 16,27.25,AjTs2rKDRt2drnhqSUkbng,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,KRqh2e8QSRSwypmzDsEcWQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
sF1et1RjSEeBtfGlG8M28A,50478,Golden Syrup,true,680g,2.15,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,QIhuopWMQwmZ3qKJbvNoFg,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
EKoqGsZVQ.av2h4xTil7XA,3849,Chilli Flakes,true,300g,5.2,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,UNC7LyMBQm-A.QNC1jvXEg,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
mjRfHBgnRDycUpB8LhOIFw,10174132023BT06,Mucchietto Primitivo IGT Puglia 2023,true,6 x 75cl,9.21,a.3hkq3OGSyWf66d3VFCiPg,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,70lYNrl6SI-Li6Z6e3HxPw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
