🔒 Row ID,SKU ID,LOC ID,SUPPLIER ID,CSV ID,Owner ID,Site Mask/Active,Site Mask/Pinned,Site Mask/Weekday Set QTY,Site Mask/Weekend Set QTY,Site Mask/Weekday Par QTY,Site Mask/Weekend Par QTY,SKU Lookup/Product Description READ,SKU Lookup/Product Code READ,SKU Lookup/Unit READ,SKU Lookup/Cost READ,History/Created,History/Last PD Update
pStNSJ9ySGe-HXGCDCrXog,sF1et1RjSEeBtfGlG8M28A,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,QIhuopWMQwmZ3qKJbvNoFg,wuqj75edR0670x.mQmMz0A,true,,,,2,,Golden Syrup,50478,680g,2.15,,
7KQNccAbSFmbBv8UO3.Dbw,EKoqGsZVQ.av2h4xTil7XA,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,UNC7LyMBQm-A.QNC1jvXEg,wuqj75edR0670x.mQmMz0A,true,,,,2,,Chilli Flakes,3849,300g,5.2,,
J-goVTlATSaG-bQGgmC2iw,mjRfHBgnRDycUpB8LhOIFw,QG-A.oJrSF2AmUnmgpDNUg,a.3hkq3OGSyWf66d3VFCiPg,70lYNrl6SI-Li6Z6e3HxPw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Mucchietto Primitivo IGT Puglia 2023,10174132023BT06,6 x 75cl,9.21,,
B1dyLQOZSjKVPJq4sfQbOg,wm0gQvWQTfWhiSeavU8zBg,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,6YCyNiNJRXmdDIsVhnwNzw,wuqj75edR0670x.mQmMz0A,,,,,2,,Dried Mixed Fruit,8140,3kg,13.85,,
Wsn-ObP8TfmKOFfsz44k0Q,MQIOCEnOSoCAeE7ZoYCD5A,QG-A.oJrSF2AmUnmgpDNUg,w6AhNWWTQsiz3TYH.act5Q,oI-PoNGTTQmiTTZzTFpUMQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Jeeves & Jericho Decaf Tea,N/A,1 x 100,25,,
kDP44EBsRtOEISffKQdDZg,MntRZFs1TS6XCMlEpuSk6w,QG-A.oJrSF2AmUnmgpDNUg,a.3hkq3OGSyWf66d3VFCiPg,48BVj-7ySqiitdwNzjYPFg,wuqj75edR0670x.mQmMz0A,true,,,,2,,Prosecco Cecilia Beretta NV,100082800NVBT06,6 x 75cl,7.84,,
sp5P4VHSQQ2honiCSnrddQ,Z0Hp85jgRg2kzZX3677MyA,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,lskDakqoTXOFZdgZMnXb5Q,wuqj75edR0670x.mQmMz0A,true,,,,2,,Peanut Butter,33130,2.5kg,17.98,,
0a3LY3BRQzqqdRoN-ttMJw,H6SMh.yfS8SKrlUz4JbFrA,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,Xk-6.N5mRKW3lT9-RXPteA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Baking Powder,43785,800g,3.34,,
krGyroAQTa-LOIRtY9DPjA,lc4FDbf3Qze59O3TtP0udQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,G0Yqww40RnOru0ll38P0BQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Marshmallows,73452,4 x 500g,17,,
Expnek7xQrKCCvgiAdxpeA,MravQeahTLyI1oFxBZn1wg,QG-A.oJrSF2AmUnmgpDNUg,a.3hkq3OGSyWf66d3VFCiPg,qMbRbxSPSrGf-F6fYDHqbw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Il Barroccio Rosso DOC Nero d'Avola Sicilia 2023,10006652023BT06,6 x 75cl,6.46,,
